"genotype_id","Marker_1","Marker_2","n_observed","z_true","n_tested","timepoint","village","latitude","longitude","genotype","village_id"
1,"SS","SS",2,0.083076139340399,10,1,"px_kigali_1",-1.81250000000067,30.0625000000017,"SSSS",1
2,"SR","SS",2,0.209421567240987,10,1,"px_kigali_1",-1.81250000000067,30.0625000000017,"SRSS",1
3,"RR","SS",1,0.131979510525146,10,1,"px_kigali_1",-1.81250000000067,30.0625000000017,"RRSS",1
4,"SS","SR",0,0.0888705796404342,10,1,"px_kigali_1",-1.81250000000067,30.0625000000017,"SSSR",1
5,"SR","SR",4,0.224028417999248,10,1,"px_kigali_1",-1.81250000000067,30.0625000000017,"SRSR",1
6,"RR","SR",0,0.141184890079825,10,1,"px_kigali_1",-1.81250000000067,30.0625000000017,"RRSR",1
7,"SS","RR",0,0.0237672934382343,10,1,"px_kigali_1",-1.81250000000067,30.0625000000017,"SSRR",1
8,"SR","RR",0,0.0599135188566835,10,1,"px_kigali_1",-1.81250000000067,30.0625000000017,"SRRR",1
9,"RR","RR",1,0.0377580828790425,10,1,"px_kigali_1",-1.81250000000067,30.0625000000017,"RRRR",1
1,"SS","SS",1,0.0743361317486627,10,2,"px_kigali_1",-1.81250000000067,30.0625000000017,"SSSS",1
2,"SR","SS",4,0.203674768096645,10,2,"px_kigali_1",-1.81250000000067,30.0625000000017,"SRSS",1
3,"RR","SS",0,0.131182411255341,10,2,"px_kigali_1",-1.81250000000067,30.0625000000017,"RRSS",1
4,"SS","SR",0,0.0839402485904633,10,2,"px_kigali_1",-1.81250000000067,30.0625000000017,"SSSR",1
5,"SR","SR",3,0.229989242962524,10,2,"px_kigali_1",-1.81250000000067,30.0625000000017,"SRSR",1
6,"RR","SR",1,0.148130982234865,10,2,"px_kigali_1",-1.81250000000067,30.0625000000017,"RRSR",1
7,"SS","RR",0,0.0233886902572462,10,2,"px_kigali_1",-1.81250000000067,30.0625000000017,"SSRR",1
8,"SR","RR",0,0.0640830502229433,10,2,"px_kigali_1",-1.81250000000067,30.0625000000017,"SRRR",1
9,"RR","RR",1,0.0412744746313094,10,2,"px_kigali_1",-1.81250000000067,30.0625000000017,"RRRR",1
1,"SS","SS",0,0.0898992983637587,10,1,"px_kigali_2",-1.81250000000067,30.1041666666683,"SSSS",2
2,"SR","SS",2,0.40706307720979,10,1,"px_kigali_2",-1.81250000000067,30.1041666666683,"SRSS",2
3,"RR","SS",6,0.460794332783226,10,1,"px_kigali_2",-1.81250000000067,30.1041666666683,"RRSS",2
4,"SS","SR",0,0.00392235925977017,10,1,"px_kigali_2",-1.81250000000067,30.1041666666683,"SSSR",2
5,"SR","SR",0,0.0177604014632445,10,1,"px_kigali_2",-1.81250000000067,30.1041666666683,"SRSR",2
6,"RR","SR",2,0.0201047277446886,10,1,"px_kigali_2",-1.81250000000067,30.1041666666683,"RRSR",2
7,"SS","RR",0,0.0000427837104286568,10,1,"px_kigali_2",-1.81250000000067,30.1041666666683,"SSRR",2
8,"SR","RR",0,0.000193724190716959,10,1,"px_kigali_2",-1.81250000000067,30.1041666666683,"SRRR",2
9,"RR","RR",0,0.000219295274376815,10,1,"px_kigali_2",-1.81250000000067,30.1041666666683,"RRRR",2
1,"SS","SS",0,0.085391028789157,10,2,"px_kigali_2",-1.81250000000067,30.1041666666683,"SSSS",2
2,"SR","SS",2,0.405777826099306,10,2,"px_kigali_2",-1.81250000000067,30.1041666666683,"SRSS",2
3,"RR","SS",8,0.465298678691255,10,2,"px_kigali_2",-1.81250000000067,30.1041666666683,"RRSS",2
4,"SS","SR",0,0.00384352346493211,10,2,"px_kigali_2",-1.81250000000067,30.1041666666683,"SSSR",2
5,"SR","SR",0,0.0182644080798317,10,2,"px_kigali_2",-1.81250000000067,30.1041666666683,"SRSR",2
6,"RR","SR",0,0.0209434927194464,10,2,"px_kigali_2",-1.81250000000067,30.1041666666683,"RRSR",2
7,"SS","RR",0,0.000042946240364468,10,2,"px_kigali_2",-1.81250000000067,30.1041666666683,"SSRR",2
8,"SR","RR",0,0.000204080361852309,10,2,"px_kigali_2",-1.81250000000067,30.1041666666683,"SRRR",2
9,"RR","RR",0,0.000234015553855014,10,2,"px_kigali_2",-1.81250000000067,30.1041666666683,"RRRR",2
1,"SS","SS",0,0.00963044339190565,10,1,"px_kigali_3",-1.81250000000067,30.145833333335,"SSSS",3
2,"SR","SS",0,0.0108701035636375,10,1,"px_kigali_3",-1.81250000000067,30.145833333335,"SRSS",3
3,"RR","SS",0,0.00306733414746518,10,1,"px_kigali_3",-1.81250000000067,30.145833333335,"RRSS",3
4,"SS","SR",4,0.106202211798193,10,1,"px_kigali_3",-1.81250000000067,30.145833333335,"SSSR",3
5,"SR","SR",0,0.119872885801294,10,1,"px_kigali_3",-1.81250000000067,30.145833333335,"SRSR",3
6,"RR","SR",0,0.0338258227091315,10,1,"px_kigali_3",-1.81250000000067,30.145833333335,"RRSR",3
7,"SS","RR",2,0.292793107550886,10,1,"px_kigali_3",-1.81250000000067,30.145833333335,"SSRR",3
8,"SR","RR",4,0.330482333188567,10,1,"px_kigali_3",-1.81250000000067,30.145833333335,"SRRR",3
9,"RR","RR",0,0.0932557578489193,10,1,"px_kigali_3",-1.81250000000067,30.145833333335,"RRRR",3
1,"SS","SS",0,0.00913598510056315,10,2,"px_kigali_3",-1.81250000000067,30.145833333335,"SSSS",3
2,"SR","SS",1,0.0106530328981604,10,2,"px_kigali_3",-1.81250000000067,30.145833333335,"SRSS",3
3,"RR","SS",0,0.00303256601069859,10,2,"px_kigali_3",-1.81250000000067,30.145833333335,"RRSS",3
4,"SS","SR",3,0.102880121482932,10,2,"px_kigali_3",-1.81250000000067,30.145833333335,"SSSR",3
5,"SR","SR",5,0.119963562403014,10,2,"px_kigali_3",-1.81250000000067,30.145833333335,"SRSR",3
6,"RR","SR",1,0.0341496572237677,10,2,"px_kigali_3",-1.81250000000067,30.145833333335,"RRSR",3
7,"SS","RR",0,0.288306022537395,10,2,"px_kigali_3",-1.81250000000067,30.145833333335,"SSRR",3
8,"SR","RR",0,0.33617978893588,10,2,"px_kigali_3",-1.81250000000067,30.145833333335,"SRRR",3
9,"RR","RR",0,0.0956992634075894,10,2,"px_kigali_3",-1.81250000000067,30.145833333335,"RRRR",3
1,"SS","SS",0,0.000603500601538251,10,1,"px_kigali_4",-1.81250000000067,30.1875000000017,"SSSS",4
2,"SR","SS",0,0.00287136088278461,10,1,"px_kigali_4",-1.81250000000067,30.1875000000017,"SRSS",4
3,"RR","SS",0,0.00341537079592051,10,1,"px_kigali_4",-1.81250000000067,30.1875000000017,"RRSS",4
4,"SS","SR",0,0.0133338815127178,10,1,"px_kigali_4",-1.81250000000067,30.1875000000017,"SSSR",4
5,"SR","SR",0,0.0634405097421862,10,1,"px_kigali_4",-1.81250000000067,30.1875000000017,"SRSR",4
6,"RR","SR",3,0.0754599902613589,10,1,"px_kigali_4",-1.81250000000067,30.1875000000017,"RRSR",4
7,"SS","RR",1,0.0736504635478839,10,1,"px_kigali_4",-1.81250000000067,30.1875000000017,"SSRR",4
8,"SR","RR",2,0.350417314400877,10,1,"px_kigali_4",-1.81250000000067,30.1875000000017,"SRRR",4
9,"RR","RR",4,0.416807608254733,10,1,"px_kigali_4",-1.81250000000067,30.1875000000017,"RRRR",4
1,"SS","SS",0,0.000570581634243548,10,2,"px_kigali_4",-1.81250000000067,30.1875000000017,"SSSS",4
2,"SR","SS",0,0.00278787267317913,10,2,"px_kigali_4",-1.81250000000067,30.1875000000017,"SRSS",4
3,"RR","SS",0,0.0033400062118633,10,2,"px_kigali_4",-1.81250000000067,30.1875000000017,"RRSS",4
4,"SS","SR",0,0.0128237383919337,10,2,"px_kigali_4",-1.81250000000067,30.1875000000017,"SSSR",4
5,"SR","SR",0,0.0626570286971593,10,2,"px_kigali_4",-1.81250000000067,30.1875000000017,"SRSR",4
6,"RR","SR",0,0.0750661488520435,10,2,"px_kigali_4",-1.81250000000067,30.1875000000017,"RRSR",4
7,"SS","RR",0,0.0717866902374124,10,2,"px_kigali_4",-1.81250000000067,30.1875000000017,"SSRR",4
8,"SR","RR",2,0.350751128322213,10,2,"px_kigali_4",-1.81250000000067,30.1875000000017,"SRRR",4
9,"RR","RR",8,0.420216804979952,10,2,"px_kigali_4",-1.81250000000067,30.1875000000017,"RRRR",4
1,"SS","SS",0,0.0933970492387106,10,1,"px_kigali_5",-1.85416666666733,29.9791666666683,"SSSS",5
2,"SR","SS",1,0.292892530380871,10,1,"px_kigali_5",-1.85416666666733,29.9791666666683,"SRSS",5
3,"RR","SS",5,0.22962726085191,10,1,"px_kigali_5",-1.85416666666733,29.9791666666683,"RRSS",5
4,"SS","SR",0,0.051219687069527,10,1,"px_kigali_5",-1.85416666666733,29.9791666666683,"SSSR",5
5,"SR","SR",1,0.160624600813323,10,1,"px_kigali_5",-1.85416666666733,29.9791666666683,"SRSR",5
6,"RR","SR",3,0.125929422174857,10,1,"px_kigali_5",-1.85416666666733,29.9791666666683,"RRSR",5
7,"SS","RR",0,0.00702232127494853,10,1,"px_kigali_5",-1.85416666666733,29.9791666666683,"SSRR",5
8,"SR","RR",0,0.0220219532001511,10,1,"px_kigali_5",-1.85416666666733,29.9791666666683,"SRRR",5
9,"RR","RR",0,0.0172651749957019,10,1,"px_kigali_5",-1.85416666666733,29.9791666666683,"RRRR",5
1,"SS","SS",0,0.0586238009718999,10,2,"px_kigali_5",-1.85416666666733,29.9791666666683,"SSSS",5
2,"SR","SS",0,0.265592878652585,10,2,"px_kigali_5",-1.85416666666733,29.9791666666683,"SRSS",5
3,"RR","SS",5,0.22586325081723,10,2,"px_kigali_5",-1.85416666666733,29.9791666666683,"RRSS",5
4,"SS","SR",0,0.0412915010201163,10,2,"px_kigali_5",-1.85416666666733,29.9791666666683,"SSSR",5
5,"SR","SR",4,0.187069559428184,10,2,"px_kigali_5",-1.85416666666733,29.9791666666683,"SRSR",5
6,"RR","SR",0,0.159086113437045,10,2,"px_kigali_5",-1.85416666666733,29.9791666666683,"RRSR",5
7,"SS","RR",0,0.00665793896375706,10,2,"px_kigali_5",-1.85416666666733,29.9791666666683,"SSRR",5
8,"SR","RR",0,0.0301635367540403,10,2,"px_kigali_5",-1.85416666666733,29.9791666666683,"SRRR",5
9,"RR","RR",1,0.0256514199551421,10,2,"px_kigali_5",-1.85416666666733,29.9791666666683,"RRRR",5
1,"SS","SS",0,0.000460034002918159,10,1,"px_kigali_6",-1.85416666666733,30.020833333335,"SSSS",6
2,"SR","SS",0,0.0030843640938048,10,1,"px_kigali_6",-1.85416666666733,30.020833333335,"SRSS",6
3,"RR","SS",0,0.00516989059664531,10,1,"px_kigali_6",-1.85416666666733,30.020833333335,"RRSS",6
4,"SS","SR",0,0.00893600603156562,10,1,"px_kigali_6",-1.85416666666733,30.020833333335,"SSSR",6
5,"SR","SR",1,0.0599127368215158,10,1,"px_kigali_6",-1.85416666666733,30.020833333335,"SRSR",6
6,"RR","SR",0,0.10042338883888,10,1,"px_kigali_6",-1.85416666666733,30.020833333335,"RRSR",6
